Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Hispanic,English,81,37,6041
All students,Science,94,53,6041
White,Science,93,74,6041
Asian,Science,97,78,6041
Filipino,Science,91,72,6041
All students,Math,44,37,14617
White,Math,58,53,14617
Hispanic,Math,26,24,14617
Asian,Math,69,72,14617
Two or more races,Math,75,52,14617
All students,English,57,48,14617
White,English,68,64,14617
Hispanic,English,43,37,14617
Asian,English,69,75,14617
Two or more races,English,67,63,14617
All students,Science,63,53,14617
White,Science,79,74,14617
Hispanic,Science,41,40,14617
All students,Math,17,37,5904
Hispanic,Math,14,24,5904
White,Math,23,53,5904
Asian,Math,42,72,5904
All students,English,28,48,5904
Hispanic,English,24,37,5904
White,English,38,64,5904
Asian,English,42,75,5904
All students,Science,32,53,5904
Hispanic,Science,24,40,5904
White,Science,57,74,5904
All students,Math,24,37,17695
Hispanic,Math,26,24,17695
All students,English,27,48,17695
Hispanic,English,28,37,17695
All students,Science,49,53,17695
Hispanic,Science,51,40,17695
All students,Math,12,37,4700
Hispanic,Math,9,24,4700
Black,Math,5,18,4700
Asian,Math,19,72,4700
Pacific Islander,Math,16,30,4700
White,Math,12,53,4700
Two or more races,Math,40,52,4700
Filipino,Math,42,57,4700
All students,English,17,48,4700
Hispanic,English,14,37,4700
Black,English,13,31,4700
Asian,English,23,75,4700
Pacific Islander,English,21,42,4700
White,English,6,64,4700
Two or more races,English,33,63,4700
Filipino,English,42,70,4700
All students,Science,28,57,4700
Hispanic,Science,27,44,4700
Black,Science,20,40,4700
Asian,Science,40,81,4700
All students,Math,66,37,14185
Hispanic,Math,60,24,14185
White,Math,74,53,14185
Filipino,Math,78,57,14185
Asian,Math,74,72,14185
Two or more races,Math,52,52,14185
Black,Math,53,18,14185
All students,English,79,48,14185
Hispanic,English,74,37,14185
White,English,89,64,14185
Filipino,English,84,70,14185
Asian,English,85,75,14185
Two or more races,English,83,63,14185
Black,English,59,31,14185
All students,Science,89,53,14185
Hispanic,Science,85,40,14185
White,Science,97,74,14185
Filipino,Science,100,72,14185
Two or more races,Science,83,72,14185
All students,Math,39,37,6022
Hispanic,Math,40,24,6022
White,Math,39,53,6022
Black,Math,30,18,6022
Two or more races,Math,39,52,6022
All students,English,40,48,6022
Hispanic,English,38,37,6022
White,English,43,64,6022
Black,English,33,31,6022
Two or more races,English,43,63,6022
All students,Science,35,57,6022
Hispanic,Science,17,40,6022
White,Science,33,74,6022
All students,Math,29,37,5947
White,Math,35,53,5947
Hispanic,Math,14,24,5947
Native American or Native Alaskan,Math,21,25,5947
Two or more races,Math,36,52,5947
All students,English,49,48,5947
White,English,57,64,5947
Hispanic,English,33,37,5947
Native American or Native Alaskan,English,43,36,5947
Two or more races,English,43,63,5947
All students,Science,57,61,5947
White,Science,63,78,5947
Hispanic,Science,45,49,5947
All students,Math,38,37,3729
Hispanic,Math,37,24,3729
White,Math,50,53,3729
All students,English,42,48,3729
Hispanic,English,42,37,3729
White,English,44,64,3729
All students,Science,39,53,3729
Hispanic,Science,41,40,3729
All students,Math,49,37,6052
Hispanic,Math,41,24,6052
White,Math,55,53,6052
Two or more races,Math,67,52,6052
Asian,Math,47,72,6052
All students,English,51,48,6052
Hispanic,English,41,37,6052
White,English,64,64,6052
Two or more races,English,78,63,6052
Asian,English,47,75,6052
All students,Science,58,53,6052
Hispanic,Science,41,40,6052
White,Science,71,74,6052
All students,English,75,48,5873
White,English,81,64,5873
Hispanic,English,61,37,5873
Two or more races,English,83,63,5873
Asian,English,97,75,5873
Filipino,English,73,70,5873
All students,Math,63,37,5873
White,Math,71,53,5873
Hispanic,Math,44,24,5873
Two or more races,Math,76,52,5873
Asian,Math,84,72,5873
Filipino,Math,64,57,5873
All students,Science,84,61,5873
White,Science,89,78,5873
Hispanic,Science,71,49,5873
Two or more races,Science,94,75,5873
Asian,Science,100,85,5873
All students,Math,44,37,5844
Hispanic,Math,43,24,5844
White,Math,52,53,5844
Black,Math,33,18,5844
Filipino,Math,43,57,5844
All students,English,56,48,5844
Hispanic,English,56,37,5844
White,English,55,64,5844
Black,English,52,31,5844
Filipino,English,64,70,5844
All students,Science,61,55,5844
Hispanic,Science,61,42,5844
All students,Math,27,37,5956
Hispanic,Math,21,24,5956
Black,Math,23,18,5956
White,Math,26,53,5956
Two or more races,Math,38,52,5956
Asian,Math,61,72,5956
Filipino,Math,71,57,5956
All students,English,41,48,5956
Hispanic,English,33,37,5956
Black,English,34,31,5956
White,English,49,64,5956
Two or more races,English,62,63,5956
Asian,English,78,75,5956
Filipino,English,85,70,5956
All students,Science,40,57,5956
Hispanic,Science,35,44,5956
All students,Science,80,50,5859
White,Science,80,68,5859
Hispanic,Science,74,37,5859
Asian,Science,92,76,5859
Two or more races,Science,77,66,5859
All students,English,71,48,5859
White,English,73,64,5859
Hispanic,English,62,37,5859
All students,Math,54,37,5859
White,Math,61,53,5859
Hispanic,Math,28,24,5859
All students,English,35,48,31047
Hispanic,English,28,37,31047
White,English,48,64,31047
All students,Math,21,37,31047
Hispanic,Math,13,24,31047
White,Math,33,53,31047
All students,Science,52,61,31047
Hispanic,Science,36,49,31047
White,Science,72,78,31047
All students,Math,65,37,5860
White,Math,66,53,5860
Hispanic,Math,62,24,5860
Two or more races,Math,70,52,5860
Asian,Math,72,72,5860
Filipino,Math,75,57,5860
Black,Math,50,18,5860
All students,English,77,48,5860
White,English,79,64,5860
Hispanic,English,71,37,5860
Two or more races,English,70,63,5860
Asian,English,79,75,5860
Filipino,English,75,70,5860
Black,English,75,31,5860
All students,Science,85,61,5860
White,Science,83,78,5860
Hispanic,Science,87,49,5860
Two or more races,Science,100,75,5860
Asian,Science,83,85,5860
All students,Math,68,37,5861
White,Math,75,53,5861
Hispanic,Math,47,24,5861
Two or more races,Math,69,52,5861
All students,English,72,48,5861
White,English,76,64,5861
Hispanic,English,62,37,5861
Two or more races,English,75,63,5861
All students,Science,74,53,5861
White,Science,82,74,5861
Hispanic,Science,55,40,5861
All students,English,55,48,31092
White,English,54,64,31092
Hispanic,English,54,37,31092
Two or more races,English,61,63,31092
Asian,English,67,75,31092
All students,Math,38,37,31092
White,Math,33,53,31092
Hispanic,Math,42,24,31092
Two or more races,Math,36,52,31092
Asian,Math,75,72,31092
All students,Science,72,57,31092
White,Science,78,74,31092
All students,English,45,48,12036
White,English,51,64,12036
Hispanic,English,29,37,12036
Two or more races,English,54,63,12036
Black,English,19,31,12036
Asian,English,70,75,12036
All students,Math,24,37,12036
White,Math,26,53,12036
Hispanic,Math,15,24,12036
Two or more races,Math,29,52,12036
Black,Math,13,18,12036
Asian,Math,70,72,12036
All students,Science,46,55,12036
White,Science,48,73,12036
Hispanic,Science,42,42,12036
All students,English,48,48,24790
White,English,56,64,24790
Hispanic,English,24,37,24790
Two or more races,English,44,63,24790
All students,Math,31,37,24790
White,Math,36,53,24790
Hispanic,Math,11,24,24790
Two or more races,Math,28,52,24790
All students,Science,57,57,24790
White,Science,60,76,24790
All students,Math,26,37,12481
Hispanic,Math,21,24,12481
White,Math,34,53,12481
Two or more races,Math,35,52,12481
Asian,Math,67,72,12481
All students,English,41,48,12481
Hispanic,English,35,37,12481
White,English,57,64,12481
Two or more races,English,47,63,12481
Asian,English,73,75,12481
All students,Science,33,53,12481
Hispanic,Science,30,40,12481
White,Science,43,74,12481
All students,Math,83,37,5875
White,Math,88,53,5875
Asian,Math,86,72,5875
Hispanic,Math,48,24,5875
Two or more races,Math,77,52,5875
All students,English,84,48,5875
White,English,89,64,5875
Asian,English,86,75,5875
Hispanic,English,67,37,5875
Two or more races,English,68,63,5875
All students,Science,80,53,5875
White,Science,86,74,5875
Asian,Science,91,78,5875
All students,Math,81,37,5876
White,Math,79,53,5876
Asian,Math,93,72,5876
Hispanic,Math,65,24,5876
Two or more races,Math,74,52,5876
All students,English,84,48,5876
White,English,83,64,5876
Asian,English,88,75,5876
Hispanic,English,79,37,5876
Two or more races,English,83,63,5876
All students,Science,77,53,5876
White,Science,76,74,5876
Asian,Science,95,78,5876
All students,Math,85,37,5877
White,Math,86,53,5877
Asian,Math,81,72,5877
Hispanic,Math,83,24,5877
Two or more races,Math,92,52,5877
All students,English,87,48,5877
White,English,89,64,5877
Asian,English,86,75,5877
Hispanic,English,75,37,5877
Two or more races,English,92,63,5877
All students,Science,97,53,5877
White,Science,98,74,5877
All students,Math,83,37,5878
White,Math,82,53,5878
Hispanic,Math,68,24,5878
Asian,Math,91,72,5878
Two or more races,Math,89,52,5878
All students,English,87,48,5878
White,English,88,64,5878
Hispanic,English,79,37,5878
Asian,English,88,75,5878
Two or more races,English,89,63,5878
All students,Science,64,53,5878
White,Science,68,74,5878
All students,Math,75,37,14247
White,Math,65,53,14247
Asian,Math,91,72,14247
Filipino,Math,79,57,14247
Hispanic,Math,60,24,14247
Two or more races,Math,80,52,14247
Black,Math,41,18,14247
All students,English,85,48,14247
White,English,82,64,14247
Asian,English,93,75,14247
Filipino,English,94,70,14247
Hispanic,English,68,37,14247
Two or more races,English,80,63,14247
Black,English,48,31,14247
All students,Science,91,61,14247
White,Science,90,78,14247
Asian,Science,97,85,14247
Filipino,Science,98,79,14247
Hispanic,Science,71,49,14247
Two or more races,Science,82,75,14247
All students,Math,84,37,11832
White,Math,78,53,11832
Asian,Math,96,72,11832
Hispanic,Math,74,24,11832
Two or more races,Math,96,52,11832
All students,English,87,48,11832
White,English,80,64,11832
Asian,English,99,75,11832
Hispanic,English,83,37,11832
Two or more races,English,100,63,11832
All students,Science,95,53,11832
White,Science,95,74,11832
Asian,Science,97,78,11832
Hispanic,Science,82,40,11832
All students,Math,34,37,5978
Hispanic,Math,30,24,5978
White,Math,44,53,5978
Black,Math,22,18,5978
Filipino,Math,58,57,5978
Two or more races,Math,28,52,5978
All students,English,53,48,5978
Hispanic,English,44,37,5978
White,English,69,64,5978
Black,English,43,31,5978
Filipino,English,58,70,5978
Two or more races,English,72,63,5978
All students,Science,58,53,5978
Hispanic,Science,55,40,5978
White,Science,67,74,5978
All students,Math,72,37,5879
White,Math,81,53,5879
Hispanic,Math,55,24,5879
Two or more races,Math,79,52,5879
All students,English,71,48,5879
White,English,84,64,5879
Hispanic,English,47,37,5879
Two or more races,English,92,63,5879
All students,Science,77,53,5879
White,Science,90,74,5879
Hispanic,Science,46,40,5879
All students,Math,11,37,5923
White,Math,5,53,5923
Hispanic,Math,15,24,5923
Black,Math,20,18,5923
Two or more races,Math,18,52,5923
All students,Science,24,50,5923
White,Science,18,68,5923
Hispanic,Science,28,37,5923
Black,Science,24,32,5923
Filipino,Science,58,67,5923
All students,English,35,48,5923
White,English,21,64,5923
Hispanic,English,44,37,5923
Black,English,40,31,5923
Two or more races,English,45,63,5923
All students,Math,64,37,5960
White,Math,71,53,5960
Hispanic,Math,41,24,5960
Two or more races,Math,62,52,5960
All students,English,73,48,5960
White,English,78,64,5960
Hispanic,English,51,37,5960
Two or more races,English,86,63,5960
All students,Science,72,53,5960
White,Science,72,74,5960
All students,Math,45,37,5894
White,Math,60,53,5894
Hispanic,Math,27,24,5894
Asian,Math,69,72,5894
Two or more races,Math,45,52,5894
All students,English,56,48,5894
White,English,66,64,5894
Hispanic,English,41,37,5894
Asian,English,54,75,5894
Two or more races,English,80,63,5894
All students,Science,57,53,5894
White,Science,71,74,5894
Hispanic,Science,36,40,5894
All students,Science,48,50,6205
Hispanic,Science,35,37,6205
White,Science,79,68,6205
Black,Science,41,32,6205
All students,Math,26,37,6205
Hispanic,Math,16,24,6205
White,Math,57,53,6205
Black,Math,14,18,6205
Two or more races,Math,45,52,6205
All students,English,49,48,6205
Hispanic,English,41,37,6205
White,English,80,64,6205
Black,English,38,31,6205
Two or more races,English,55,63,6205
All students,Math,94,37,17442
White,Math,91,53,17442
Asian,Math,97,72,17442
Hispanic,Math,92,24,17442
Two or more races,Math,88,52,17442
All students,English,92,48,17442
White,English,92,64,17442
Asian,English,93,75,17442
Hispanic,English,100,37,17442
Two or more races,English,88,63,17442
All students,Science,94,53,17442
White,Science,93,74,17442
Asian,Science,94,78,17442
All students,Math,38,37,3456
Hispanic,Math,17,24,3456
White,Math,53,53,3456
All students,English,49,48,3456
Hispanic,English,27,37,3456
White,English,65,64,3456
All students,Science,54,53,3456
Hispanic,Science,30,40,3456
White,Science,75,74,3456
All students,Math,39,37,6218
Hispanic,Math,29,24,6218
Filipino,Math,61,57,6218
All students,English,44,48,6218
Hispanic,English,37,37,6218
Filipino,English,67,70,6218
All students,Science,50,53,6218
Hispanic,Science,35,40,6218
All students,Math,30,37,14400
Hispanic,Math,17,24,14400
White,Math,47,53,14400
Asian,Math,58,72,14400
Black,Math,25,18,14400
Filipino,Math,74,57,14400
Two or more races,Math,58,52,14400
All students,English,46,48,14400
Hispanic,English,33,37,14400
White,English,65,64,14400
Asian,English,64,75,14400
Black,English,48,31,14400
Filipino,English,79,70,14400
Two or more races,English,78,63,14400
All students,Science,50,61,14400
Hispanic,Science,38,49,14400
White,Science,73,78,14400
Asian,Science,73,85,14400
All students,Math,58,37,14621
White,Math,63,53,14621
Hispanic,Math,43,24,14621
Asian,Math,89,72,14621
Two or more races,Math,73,52,14621
All students,English,63,48,14621
White,English,72,64,14621
Hispanic,English,42,37,14621
Asian,English,78,75,14621
Two or more races,English,73,63,14621
All students,Science,77,53,14621
White,Science,86,74,14621
Hispanic,Science,56,40,14621
All students,Math,17,37,6114
Hispanic,Math,13,24,6114
Asian,Math,30,72,6114
Black,Math,21,18,6114
All students,English,25,48,6114
Hispanic,English,21,37,6114
Asian,English,41,75,6114
Black,English,32,31,6114
All students,Science,43,53,6114
Hispanic,Science,40,40,6114
Asian,Science,56,78,6114
All students,Math,47,37,12038
White,Math,48,53,12038
Hispanic,Math,40,24,12038
Asian,Math,88,72,12038
Two or more races,Math,39,52,12038
All students,English,61,48,12038
White,English,63,64,12038
Hispanic,English,51,37,12038
Asian,English,84,75,12038
Two or more races,English,55,63,12038
All students,Science,72,57,12038
White,Science,76,76,12038
Hispanic,Science,59,44,12038
Two or more races,Science,74,73,12038
All students,Math,23,37,5889
Hispanic,Math,20,24,5889
White,Math,35,53,5889
All students,English,30,48,5889
Hispanic,English,28,37,5889
White,English,39,64,5889
All students,Science,16,53,5889
Hispanic,Science,11,40,5889
All students,Math,13,37,5890
Hispanic,Math,10,24,5890
White,Math,34,53,5890
Black,Math,7,18,5890
Asian,Math,58,72,5890
All students,English,31,48,5890
Hispanic,English,27,37,5890
White,English,58,64,5890
Black,English,27,31,5890
Asian,English,64,75,5890
All students,Science,44,61,5890
Hispanic,Science,39,49,5890
White,Science,93,78,5890
All students,Math,45,37,5855
Hispanic,Math,36,24,5855
White,Math,62,53,5855
Filipino,Math,60,57,5855
Black,Math,21,18,5855
All students,English,64,48,5855
Hispanic,English,57,37,5855
White,English,72,64,5855
Filipino,English,82,70,5855
Black,English,50,31,5855
All students,Science,71,53,5855
Hispanic,Science,58,40,5855
White,Science,89,74,5855
All students,English,26,48,31084
Hispanic,English,25,37,31084
Black,English,31,31,31084
All students,Math,10,37,31084
Hispanic,Math,7,24,31084
Black,Math,23,18,31084
All students,Science,20,57,31084
Hispanic,Science,21,44,31084
All students,Math,36,37,6139
Hispanic,Math,28,24,6139
White,Math,47,53,6139
Two or more races,Math,25,52,6139
Black,Math,30,18,6139
Asian,Math,57,72,6139
Filipino,Math,75,57,6139
All students,English,57,48,6139
Hispanic,English,52,37,6139
White,English,70,64,6139
Two or more races,English,44,63,6139
Black,English,42,31,6139
Asian,English,71,75,6139
Filipino,English,75,70,6139
All students,Science,77,61,6139
Hispanic,Science,72,49,6139
White,Science,86,78,6139
All students,Math,18,37,6081
Hispanic,Math,18,24,6081
All students,English,29,48,6081
Hispanic,English,30,37,6081
All students,Science,9,53,6081
Hispanic,Science,9,40,6081
All students,English,65,48,12440
White,English,73,64,12440
Hispanic,English,52,37,12440
Asian,English,79,75,12440
Filipino,English,81,70,12440
All students,Math,59,37,12440
White,Math,68,53,12440
Hispanic,Math,41,24,12440
Asian,Math,83,72,12440
Filipino,Math,88,57,12440
All students,Science,77,57,12440
White,Science,85,76,12440
Hispanic,Science,64,44,12440
All students,Math,53,37,7229
White,Math,58,53,7229
Hispanic,Math,44,24,7229
