Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Black,English,92,31,6284
Asian,English,86,75,6284
All students,Math,47,37,6284
Hispanic,Math,39,24,6284
Filipino,Math,60,57,6284
White,Math,51,53,6284
Two or more races,Math,61,52,6284
Black,Math,60,18,6284
Asian,Math,64,72,6284
All students,Math,24,37,6165
Hispanic,Math,18,24,6165
Asian,Math,39,72,6165
Black,Math,28,18,6165
Two or more races,Math,27,52,6165
All students,English,34,48,6165
Hispanic,English,30,37,6165
Asian,English,41,75,6165
Black,English,38,31,6165
Two or more races,English,45,63,6165
All students,Science,37,53,6165
Hispanic,Science,30,40,6165
Asian,Science,45,78,6165
Black,Science,55,36,6165
All students,Math,35,37,6140
Hispanic,Math,33,24,6140
All students,English,47,48,6140
Hispanic,English,44,37,6140
All students,Science,44,53,6140
Hispanic,Science,43,40,6140
All students,English,64,48,6153
Asian,English,77,75,6153
White,English,55,64,6153
Filipino,English,69,70,6153
Hispanic,English,50,37,6153
Two or more races,English,62,63,6153
Black,English,56,31,6153
All students,Math,61,37,6153
Asian,Math,77,72,6153
White,Math,56,53,6153
Filipino,Math,62,57,6153
Hispanic,Math,53,24,6153
Two or more races,Math,56,52,6153
Black,Math,31,18,6153
All students,Science,90,53,6153
Asian,Science,94,78,6153
White,Science,94,74,6153
Filipino,Science,95,72,6153
Hispanic,Science,82,40,6153
Two or more races,Science,91,72,6153
All students,Math,57,37,5824
Hispanic,Math,51,24,5824
White,Math,62,53,5824
Filipino,Math,81,57,5824
All students,English,71,48,5824
Hispanic,English,64,37,5824
White,English,79,64,5824
Filipino,English,81,70,5824
All students,Science,39,53,5824
Hispanic,Science,34,40,5824
White,Science,65,74,5824
All students,English,49,48,31160
Hispanic,English,49,37,31160
White,English,49,64,31160
Two or more races,English,44,63,31160
Black,English,56,31,31160
Filipino,English,62,70,31160
All students,Math,27,37,31160
Hispanic,Math,25,24,31160
White,Math,31,53,31160
Two or more races,Math,31,52,31160
