studentsNumber,outOf5Stars,url,grades,lowIncomeRaceDisbilityJson,schoolTitle,totalNumReviews,StarBreakout,types
563,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5841-Loma-Verde-Elementary-School/?s_cid=gsapi,K-6,,Loma Verde Elementary School,15,"6,1,0,1,1",Public
868,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6288-Mar-Vista-Academy/?s_cid=gsapi,7-8,,Mar Vista Academy,13,"2,1,1,0,3",Public
464,4 out of 5 stars,https://www.greatschools.org/california/lemon-grove/5951-Monterey-Heights-Elementary-School/?s_cid=gsapi,PK-6,,Monterey Heights Elementary School,38,"10,2,1,1,2",Public
624,4 out of 5 stars,https://www.greatschools.org/california/national-city/5996-Olivewood-School/?s_cid=gsapi,K-6,,Olivewood School,8,"3,0,0,1,1",Public
774,5 out of 5 stars,https://www.greatschools.org/california/escondido/5901-Orange-Glen-Elementary-School/?s_cid=gsapi,K-5,,Orange Glen Elementary School,10,"7,3,0,0,0",Public
389,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5847-Palomar-Elementary-School/?s_cid=gsapi,K-6,,Palomar Elementary School,5,"4,0,0,0,1",Public
652,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6041-Park-Village-Elementary-School/?s_cid=gsapi,K-5,,Park Village Elementary School,139,"35,2,2,0,1",Public
654,5 out of 5 stars,https://www.greatschools.org/california/escondido/14617-Reidy-Creek-Elementary-School/?s_cid=gsapi,K-5,,Reidy Creek Elementary School,42,"20,3,0,3,0",Public
632,3 out of 5 stars,https://www.greatschools.org/california/escondido/5904-Rock-Springs-Elementary-School/?s_cid=gsapi,K-5,,Rock Springs Elementary School,30,"7,6,0,1,7",Public
602,2 out of 5 stars,https://www.greatschools.org/california/san-diego/17695-Rodriguez-Elementary-School/?s_cid=gsapi,K-5,,Rodriguez Elementary School,16,"0,0,0,2,1",Public
828,3 out of 5 stars,https://www.greatschools.org/california/sacramento/4700-Rosa-Parks-Elementary-School/?s_cid=gsapi,K-8,,Rosa Parks Elementary School,17,"3,1,1,0,5",Public
978,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/14185-Salt-Creek-Elementary-School/?s_cid=gsapi,K-6,,Salt Creek Elementary School,40,"18,4,3,1,4",Public
613,4 out of 5 stars,https://www.greatschools.org/california/oceanside/6022-Stuart-Mesa-Elementary-School/?s_cid=gsapi,K-8,,Stuart Mesa Elementary School,9,"6,0,1,0,2",Public
595,4 out of 5 stars,https://www.greatschools.org/california/lakeside/5947-Tierra-Del-Sol-Middle-School/?s_cid=gsapi,6-8,,Tierra Del Sol Middle School,26,"7,4,0,1,2",Public
665,3 out of 5 stars,https://www.greatschools.org/california/fullerton/3729-Valencia-Park-Elementary-School/?s_cid=gsapi,K-6,,Valencia Park Elementary School,19,"2,1,3,2,2",Public
736,4 out of 5 stars,https://www.greatschools.org/california/poway/6052-Valley-Elementary-School/?s_cid=gsapi,K-5,,Valley Elementary School,32,"11,2,0,1,3",Public
"1,027",4 out of 5 stars,https://www.greatschools.org/california/carlsbad/5873-Valley-Middle-School/?s_cid=gsapi,6-8,,Valley Middle School,25,"8,5,1,1,3",Public
"1,173",4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5844-Mueller-Charter-Robert-L.-School/?s_cid=gsapi,K-10,,Mueller Charter (Robert L.) School,28,"11,0,1,0,4",Public charter
659,3 out of 5 stars,https://www.greatschools.org/california/la-mesa/5956-Vista-La-Mesa-Academy/?s_cid=gsapi,PK-8,,Vista La Mesa Academy,19,"7,2,0,0,7",Public
"1,193",4 out of 5 stars,https://www.greatschools.org/california/coronado/5859-Coronado-High-School/?s_cid=gsapi,9-12,,Coronado High School,21,"8,3,0,2,1",Public
663,,https://www.greatschools.org/california/exeter/31047-Wilson-Middle/?s_cid=gsapi,6-8,,Wilson Middle,None,,Public
750,4 out of 5 stars,https://www.greatschools.org/california/coronado/5860-Coronado-Middle-School/?s_cid=gsapi,6-8,,Coronado Middle School,15,"7,1,2,0,1",Public
841,4 out of 5 stars,https://www.greatschools.org/california/coronado/5861-Village-Elementary-School/?s_cid=gsapi,K-5,,Village Elementary School,16,"6,6,0,1,3",Public
371,4 out of 5 stars,https://www.greatschools.org/california/escondido/31092-Community-Montessori-Charter/?s_cid=gsapi,K-12,,Community Montessori Charter,13,"2,0,0,0,1",Public charter
"1,102",4 out of 5 stars,https://www.greatschools.org/california/escondido/12036-Dehesa-Charter-School/?s_cid=gsapi,K-12,,Dehesa Charter School,69,"34,6,1,2,7",Public charter
350,4 out of 5 stars,https://www.greatschools.org/california/san-diego/24790-Innovations-Academy/?s_cid=gsapi,K-8,,Innovations Academy,149,"44,20,3,5,24",Public charter
674,4 out of 5 stars,https://www.greatschools.org/california/oceanside/12481-Temple-Heights-Elementary-School/?s_cid=gsapi,K-5,,Temple Heights Elementary School,45,"16,2,2,0,2",Public
418,4 out of 5 stars,https://www.greatschools.org/california/san-diego/5875-Ashley-Falls-Elementary-School/?s_cid=gsapi,K-6,,Ashley Falls Elementary School,16,"10,1,0,0,2",Public
560,4 out of 5 stars,https://www.greatschools.org/california/san-diego/5876-Carmel-Del-Mar-Elementary-School/?s_cid=gsapi,K-6,,Carmel Del Mar Elementary School,33,"10,6,5,0,6",Public
443,5 out of 5 stars,https://www.greatschools.org/california/del-mar/5877-Del-Mar-Heights-Elementary-School/?s_cid=gsapi,K-6,,Del Mar Heights Elementary School,73,"22,0,0,1,2",Public
335,5 out of 5 stars,https://www.greatschools.org/california/del-mar/5878-Del-Mar-Hills-Elementary-School/?s_cid=gsapi,K-6,,Del Mar Hills Elementary School,51,"20,1,0,0,1",Public
"1,361",4 out of 5 stars,https://www.greatschools.org/california/san-diego/14247-Oak-Valley-Middle-School/?s_cid=gsapi,6-8,,Oak Valley Middle School,35,"13,4,1,0,4",Public
710,4 out of 5 stars,https://www.greatschools.org/california/san-diego/11832-Sage-Canyon-School/?s_cid=gsapi,K-6,,Sage Canyon School,12,"7,1,0,1,3",Public
572,4 out of 5 stars,https://www.greatschools.org/california/spring-valley/5978-Sweetwater-Springs-Elementary-School/?s_cid=gsapi,K-6,,Sweetwater Springs Elementary School,8,"4,1,0,0,1",Public
705,4 out of 5 stars,https://www.greatschools.org/california/encinitas/5879-Capri-Elementary-School/?s_cid=gsapi,K-6,,Capri Elementary School,36,"16,1,1,0,3",Public
"1,720",4 out of 5 stars,https://www.greatschools.org/california/el-cajon/5923-El-Cajon-Valley-High-School/?s_cid=gsapi,9-12,,El Cajon Valley High School,28,"14,1,2,1,5",Public
684,5 out of 5 stars,https://www.greatschools.org/california/el-cajon/5960-Fletcher-Hills-Elementary-School/?s_cid=gsapi,K-6,,Fletcher Hills Elementary School,20,"15,0,2,0,1",Public
680,4 out of 5 stars,https://www.greatschools.org/california/escondido/5894-L.-R.-Green-Elementary-School/?s_cid=gsapi,PK-5,,L. R. Green Elementary School,16,"7,4,1,1,0",Public
"1,026",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6205-Mission-Bay-High-School/?s_cid=gsapi,9-12,,Mission Bay High School,39,"11,5,1,2,3",Public
786,5 out of 5 stars,https://www.greatschools.org/california/san-diego/17442-Ocean-Air-School/?s_cid=gsapi,K-6,,Ocean Air School,23,"10,1,0,0,0",Public
337,4 out of 5 stars,https://www.greatschools.org/california/novato/3456-Olive-Elementary-School/?s_cid=gsapi,K-5,,Olive Elementary School,39,"14,2,0,0,5",Public
299,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6218-Paradise-Hills-Elementary-School/?s_cid=gsapi,K-5,,Paradise Hills Elementary School,22,"7,1,0,1,1",Public
"1,098",3 out of 5 stars,https://www.greatschools.org/california/escondido/14400-Bear-Valley-Middle-School/?s_cid=gsapi,6-8,,Bear Valley Middle School,29,"11,4,4,3,6",Public
567,5 out of 5 stars,https://www.greatschools.org/california/escondido/14621-Bernardo-Elementary-School/?s_cid=gsapi,K-5,,Bernardo Elementary School,20,"18,1,0,0,0",Public
784,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6114-Central-Elementary-School/?s_cid=gsapi,K-5,,Central Elementary School,6,"3,3,0,0,0",Public
"1,236",5 out of 5 stars,https://www.greatschools.org/california/escondido/12038-Classical-Academy/?s_cid=gsapi,K-8,,Classical Academy,59,"38,1,2,1,2",Public charter
693,5 out of 5 stars,https://www.greatschools.org/california/escondido/5889-Conway-Elementary-School/?s_cid=gsapi,K-5,,Conway Elementary School,2,"1,0,0,0,0",Public
859,4 out of 5 stars,https://www.greatschools.org/california/escondido/5890-Del-Dios-Middle-School/?s_cid=gsapi,6-8,,Del Dios Middle School,25,"10,3,1,0,2",Public
568,5 out of 5 stars,https://www.greatschools.org/california/chula-vista/5855-Tiffany-Burton-C.-Elementary-School/?s_cid=gsapi,K-6,,Tiffany (Burton C.) Elementary School,30,"16,3,1,0,1",Public
270,3 out of 5 stars,https://www.greatschools.org/california/san-diego/31084-Epiphany-Prep-Charter/?s_cid=gsapi,K-8,,Epiphany Prep Charter,13,"4,0,0,0,3",Public charter
436,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6139-Farb-Middle-School/?s_cid=gsapi,6-8,,Farb Middle School,38,"15,3,2,3,12",Public
837,3 out of 5 stars,https://www.greatschools.org/california/san-ysidro/6081-George-Nicoloff-Elementary-School/?s_cid=gsapi,K-6,,George Nicoloff Elementary School,24,"6,2,0,1,4",Public
602,4 out of 5 stars,https://www.greatschools.org/california/escondido/12440-Heritage-K-8-Charter-School/?s_cid=gsapi,K-8,,Heritage K-8 Charter School,36,"17,3,2,0,6",Public charter
305,,https://www.greatschools.org/california/hickman/7229-Hickman-Elementary-School/?s_cid=gsapi,K-5,,Hickman Elementary School,None,,Public charter
153,5 out of 5 stars,https://www.greatschools.org/california/julian/5938-Julian-High-School/?s_cid=gsapi,9-12,,Julian High School,3,"3,0,0,0,0",Public
580,,https://www.greatschools.org/california/san-diego/25642-Knox-Middle/?s_cid=gsapi,6-8,,Knox Middle,None,,Public
610,4 out of 5 stars,https://www.greatschools.org/california/valley-center/12421-Lilac-School/?s_cid=gsapi,K-6,,Lilac School,24,"12,1,5,1,2",Public
685,3 out of 5 stars,https://www.greatschools.org/california/moreno-valley/4381-Midland-Elementary-School/?s_cid=gsapi,K-5,,Midland Elementary School,4,"1,1,0,0,1",Public
"2,530",4 out of 5 stars,https://www.greatschools.org/california/san-marcos/13848-Mission-Hills-High-School/?s_cid=gsapi,9-12,,Mission Hills High School,29,"12,3,3,4,2",Public
316,4 out of 5 stars,https://www.greatschools.org/california/san-diego/16971-Normal-Heights-Elementary-School/?s_cid=gsapi,K-5,,Normal Heights Elementary School,5,"1,1,0,1,0",Public
852,4 out of 5 stars,https://www.greatschools.org/california/encinitas/6088-Oak-Crest-Middle-School/?s_cid=gsapi,7-8,,Oak Crest Middle School,32,"10,2,3,4,2",Public
563,4 out of 5 stars,https://www.greatschools.org/california/imperial-beach/6082-Oneonta-Elementary-School/?s_cid=gsapi,K-6,,Oneonta Elementary School,16,"3,4,4,0,1",Public
701,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6223-Pershing-Middle-School/?s_cid=gsapi,6-8,,Pershing Middle School,32,"7,4,4,3,5",Public
846,4 out of 5 stars,https://www.greatschools.org/california/la-jolla/11112-Preuss-School-Ucsd/?s_cid=gsapi,6-12,,Preuss School Ucsd,21,"12,2,1,0,3",Public charter
835,4 out of 5 stars,https://www.greatschools.org/california/vista/6321-Rancho-Minerva-Middle-School/?s_cid=gsapi,6-8,,Rancho Minerva Middle School,33,"14,4,0,1,7",Public
"1,157",3 out of 5 stars,https://www.greatschools.org/california/chula-vista/5833-Feaster-Mae-L.-Charter-School/?s_cid=gsapi,K-8,,Feaster (Mae L.) Charter School,36,"10,5,2,2,9",Public charter
274,4 out of 5 stars,https://www.greatschools.org/california/lakeside/11105-River-Valley-Charter-School/?s_cid=gsapi,7-12,,River Valley Charter School,38,"15,0,2,1,2",Public charter
550,4 out of 5 stars,https://www.greatschools.org/california/oakland/254-Roosevelt-Middle-School/?s_cid=gsapi,6-8,,Roosevelt Middle School,19,"4,3,0,1,2",Public
900,5 out of 5 stars,https://www.greatschools.org/california/escondido/17083-Classical-Academy-High-School/?s_cid=gsapi,9-12,,Classical Academy High School,77,"52,3,1,0,1",Public charter
512,3 out of 5 stars,https://www.greatschools.org/california/escondido/31095-Del-Lago-Academy---Campus-Of-Applied-Science/?s_cid=gsapi,9-12,,Del Lago Academy - Campus Of Applied Science,14,"2,1,0,1,1",Public
735,2 out of 5 stars,https://www.greatschools.org/california/fresno/818-Ericson-Elementary-School/?s_cid=gsapi,K-6,,Ericson Elementary School,14,"1,1,2,0,4",Public
880,5 out of 5 stars,https://www.greatschools.org/california/escondido/5906-Escondido-Charter-High-School/?s_cid=gsapi,9-12,,Escondido Charter High School,16,"13,1,0,1,0",Public charter
226,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/11121-Options-Secondary-School/?s_cid=gsapi,7-12,,Options Secondary School,12,"4,2,3,0,2",Public
"2,237",3 out of 5 stars,https://www.greatschools.org/california/escondido/5909-San-Pasqual-High-School/?s_cid=gsapi,9-12,,San Pasqual High School,9,"4,0,0,0,3",Public
"2,183",3 out of 5 stars,https://www.greatschools.org/california/fallbrook/5920-Fallbrook-High-School/?s_cid=gsapi,9-12,,Fallbrook High School,35,"2,4,4,4,7",Public
568,5 out of 5 stars,https://www.greatschools.org/california/el-cajon/5813-Jamacha-Elementary-School/?s_cid=gsapi,K-5,,Jamacha Elementary School,21,"11,4,0,0,0",Public
468,3 out of 5 stars,https://www.greatschools.org/california/la-mesa/5963-La-Mesa-Dale-Elementary-School/?s_cid=gsapi,K-6,,La Mesa Dale Elementary School,33,"4,6,1,1,4",Public
566,5 out of 5 stars,https://www.greatschools.org/california/lakeside/5945-Lindo-Park-Elementary-School/?s_cid=gsapi,K-5,,Lindo Park Elementary School,11,"8,0,0,0,0",Public
476,4 out of 5 stars,https://www.greatschools.org/california/carlsbad/5871-Magnolia-Elementary-School/?s_cid=gsapi,K-5,,Magnolia Elementary School,18,"9,2,3,0,0",Public
636,3 out of 5 stars,https://www.greatschools.org/california/chula-vista/5849-Rice-Lilian-J.-Elementary-School/?s_cid=gsapi,K-6,,Rice (Lilian J.) Elementary School,25,"4,4,3,2,5",Public
643,3 out of 5 stars,https://www.greatschools.org/california/san-clemente/5919-San-Onofre-Elementary-School/?s_cid=gsapi,K-8,,San Onofre Elementary School,46,"11,7,1,3,11",Public
574,1 out of 5 stars,https://www.greatschools.org/california/stockton/6584-Westwood-Elementary-School/?s_cid=gsapi,PK-6,,Westwood Elementary School,2,"0,0,0,0,1",Public
529,5 out of 5 stars,https://www.greatschools.org/california/fontana/5098-Oak-Park-Elementary-School/?s_cid=gsapi,K-5,,Oak Park Elementary School,18,"5,2,1,0,0",Public
171,5 out of 5 stars,https://www.greatschools.org/california/el-cajon/25114-Eje-Middle-Academy/?s_cid=gsapi,6-8,,Eje Middle Academy,1,"1,0,0,0,0",Public charter
"3,076",4 out of 5 stars,https://www.greatschools.org/california/oceanside/6002-El-Camino-High-School/?s_cid=gsapi,9-12,,El Camino High School,29,"12,3,3,1,3",Public
921,4 out of 5 stars,https://www.greatschools.org/california/national-city/6285-Granger-Junior-High-School/?s_cid=gsapi,7-9,,Granger Junior High School,28,"18,5,2,0,2",Public
940,3 out of 5 stars,https://www.greatschools.org/california/bakersfield/1262-Greenfield-Middle-School/?s_cid=gsapi,6-8,,Greenfield Middle School,13,"3,0,0,0,4",Public
"2,394",3 out of 5 stars,https://www.greatschools.org/california/la-mesa/5926-Grossmont-High-School/?s_cid=gsapi,9-12,,Grossmont High School,37,"10,4,2,1,7",Public
315,5 out of 5 stars,https://www.greatschools.org/california/fallbrook/5913-Fallbrook-Homeschool-Academy-FHA/?s_cid=gsapi,K-9,,Fallbrook Homeschool Academy (FHA),24,"12,1,0,1,0",Public
